year,state,Pincode,type,count,amount
2020,chhattisgarh,492015,TOTAL,344194,504441994.36472595
2020,chhattisgarh,497001,TOTAL,342443,623011907.8316444
2020,chhattisgarh,490006,TOTAL,337068,361375163.24966186
2020,chhattisgarh,491441,TOTAL,242895,389726036.08634716
2020,chhattisgarh,492009,TOTAL,1526874,3719446962.0483813
2020,chhattisgarh,492001,TOTAL,665755,987107410.3661349
2020,chhattisgarh,495001,TOTAL,482770,870871061.1209086
2020,chhattisgarh,497001,TOTAL,370519,689109946.6551751
2020,chhattisgarh,491001,TOTAL,334853,495992326.76679873
2020,chhattisgarh,490023,TOTAL,326027,441538660.5589389
2020,chhattisgarh,494001,TOTAL,294320,679782295.0345536
2020,chhattisgarh,490006,TOTAL,288259,369452351.46939605
2020,chhattisgarh,495660,TOTAL,279210,441653885.5637897
2020,chhattisgarh,491441,TOTAL,260856,436309146.2483653
2020,chhattisgarh,492009,TOTAL,1857300,4069532117.927307
2020,chhattisgarh,492001,TOTAL,981812,1565413199.4368353
2020,chhattisgarh,495001,TOTAL,696692,1191326273.0870118
2020,chhattisgarh,497001,TOTAL,513473,988159635.3272357
2020,chhattisgarh,491001,TOTAL,469652,707693501.9197738
2020,chhattisgarh,490023,TOTAL,463152,643696441.4135771
2020,chhattisgarh,490006,TOTAL,409697,538137939.7460059
2020,chhattisgarh,491441,TOTAL,370246,639299659.904967
2020,chhattisgarh,496005,TOTAL,354221,689205706.4188439
2020,chhattisgarh,495660,TOTAL,318783,578159036.7380313
2020,chhattisgarh,492009,TOTAL,1955063,3901827452.842137
2020,chhattisgarh,492001,TOTAL,1727068,2811515596.805071
2020,chhattisgarh,495001,TOTAL,1213230,2066193700.6311502
2020,chhattisgarh,497001,TOTAL,828474,1614662483.7276986
2020,chhattisgarh,490023,TOTAL,778245,1122723104.3727932
2020,chhattisgarh,491001,TOTAL,772474,1206813518.7601233
2020,chhattisgarh,490006,TOTAL,699714,884676392.8043678
2020,chhattisgarh,491441,TOTAL,569298,1008624236.4577057
2020,chhattisgarh,496005,TOTAL,519415,1028834647.3652802
2020,chhattisgarh,495450,TOTAL,510869,865967961.4661187
2021,chhattisgarh,492009,TOTAL,3152697,5281456698.639032
2021,chhattisgarh,492001,TOTAL,2062104,3156983782.7872276
2021,chhattisgarh,495001,TOTAL,1558405,2376898658.800415
2021,chhattisgarh,497001,TOTAL,957928,1823147805.7569232
2021,chhattisgarh,491001,TOTAL,872723,1294441361.2765474
2021,chhattisgarh,490023,TOTAL,869244,1154015806.2811897
2021,chhattisgarh,490006,TOTAL,774112,914211871.5270494
2021,chhattisgarh,491441,TOTAL,653315,1122704843.7664142
2021,chhattisgarh,495450,TOTAL,595796,973484691.251247
2021,chhattisgarh,496005,TOTAL,593116,1184774545.5928895
2021,chhattisgarh,492009,TOTAL,3531665,6237261109.571448
2021,chhattisgarh,492001,TOTAL,1790662,3080777232.7858667
2021,chhattisgarh,495001,TOTAL,1455312,2510462991.251886
2021,chhattisgarh,497001,TOTAL,1031909,2008561517.648296
2021,chhattisgarh,491001,TOTAL,837157,1364714087.7809932
2021,chhattisgarh,490023,TOTAL,763575,1174072727.567776
2021,chhattisgarh,491441,TOTAL,740582,1310602405.6028762
2021,chhattisgarh,495450,TOTAL,704041,1132961727.260648
2021,chhattisgarh,490006,TOTAL,668949,946046519.1898482
2021,chhattisgarh,496005,TOTAL,645183,1216389122.6233206
2021,chhattisgarh,492009,TOTAL,5612983,8770212351.408337
2021,chhattisgarh,492001,TOTAL,3200184,4768793686.020849
2021,chhattisgarh,495001,TOTAL,2572993,3734896539.7337685
2021,chhattisgarh,497001,TOTAL,1635520,2760462757.7578793
2021,chhattisgarh,491001,TOTAL,1305695,1938305539.075568
2021,chhattisgarh,490023,TOTAL,1253256,1704542436.5901656
2021,chhattisgarh,491441,TOTAL,1124790,1803320186.7983453
2021,chhattisgarh,490006,TOTAL,1096245,1299467876.0104809
2021,chhattisgarh,496005,TOTAL,1006702,1784048704.1108124
2021,chhattisgarh,495450,TOTAL,1004357,1500182581.1138833
2021,chhattisgarh,492009,TOTAL,8304401,12964571702.987217
2021,chhattisgarh,492001,TOTAL,4178829,6231047914.337536
2021,chhattisgarh,495001,TOTAL,3644800,4999084676.501506
2021,chhattisgarh,497001,TOTAL,2276401,3766123278.042672
2021,chhattisgarh,491001,TOTAL,1687886,2560648248.895311
2021,chhattisgarh,490023,TOTAL,1599521,2248105461.586821
2021,chhattisgarh,490006,TOTAL,1410015,1732682082.0393152
2021,chhattisgarh,491441,TOTAL,1395385,2296675958.189373
2021,chhattisgarh,495450,TOTAL,1373013,2011514280.4747252
2021,chhattisgarh,496005,TOTAL,1357792,2314581216.562727
2022,chhattisgarh,492009,TOTAL,8604266,13265608315.34198
2022,chhattisgarh,492001,TOTAL,4654685,6852734645.639161
2022,chhattisgarh,495001,TOTAL,4183815,5693220429.873732
2022,chhattisgarh,497001,TOTAL,2608953,4270065647.0031033
2022,chhattisgarh,491001,TOTAL,1854312,2829231024.442624
2022,chhattisgarh,490023,TOTAL,1719478,2432156635.4437113
2022,chhattisgarh,491441,TOTAL,1691392,2775775912.1836176
2022,chhattisgarh,496005,TOTAL,1601573,2711974013.620237
2022,chhattisgarh,495450,TOTAL,1580837,2356394521.081302
2022,chhattisgarh,490006,TOTAL,1506932,1842102092.8597531
2022,chhattisgarh,492009,TOTAL,10025789,14968791943.376333
2022,chhattisgarh,492001,TOTAL,5744280,8305059645.430582
2022,chhattisgarh,495001,TOTAL,5047637,6711325493.698645
2022,chhattisgarh,497001,TOTAL,3135705,4960730023.337443
2022,chhattisgarh,491001,TOTAL,2225450,3310540189.1548705
2022,chhattisgarh,491441,TOTAL,2038818,3271780605.9574466
2022,chhattisgarh,490023,TOTAL,2019053,2822637782.1193137
2022,chhattisgarh,496005,TOTAL,1915479,3114215340.965275
2022,chhattisgarh,495450,TOTAL,1858110,2704576938.698612
2022,chhattisgarh,494001,TOTAL,1760773,3011347187.158378
2022,chhattisgarh,490025,TOTAL,27709655,34710838372.56677
2022,chhattisgarh,492009,TOTAL,18534055,24688727453.174118
2022,chhattisgarh,495001,TOTAL,7363455,9209001744.809235
2022,chhattisgarh,492001,TOTAL,5867095,8079859406.743408
2022,chhattisgarh,497001,TOTAL,3136275,4516205218.110838
2022,chhattisgarh,491001,TOTAL,2646597,3636063295.4063334
2022,chhattisgarh,496005,TOTAL,2585964,3726179905.5455704
2022,chhattisgarh,491335,TOTAL,2229725,2939210017.3994675
2022,chhattisgarh,490023,TOTAL,2010684,2697551621.1334295
2022,chhattisgarh,491441,TOTAL,1999983,3010066819.409458
2022,chhattisgarh,490025,TOTAL,30367292,39832838087.7527
2022,chhattisgarh,492009,TOTAL,14547843,20802250141.53089
2022,chhattisgarh,495001,TOTAL,8943347,11284431848.378153
2022,chhattisgarh,491001,TOTAL,7147574,9554105321.34933
2022,chhattisgarh,492001,TOTAL,6598984,9056995537.72467
2022,chhattisgarh,497001,TOTAL,3746038,5374539443.774867
2022,chhattisgarh,491441,TOTAL,2530455,3800881016.686203
2022,chhattisgarh,496005,TOTAL,2431930,3586810453.649658
2022,chhattisgarh,490023,TOTAL,2275958,3067299957.1121473
2022,chhattisgarh,494001,TOTAL,2186179,3377164484.485155
2023,chhattisgarh,492001,TOTAL,11115338,14659105958.0
2023,chhattisgarh,495001,TOTAL,9917576,11605899209.0
2023,chhattisgarh,497001,TOTAL,6441895,8685746959.0
2023,chhattisgarh,491001,TOTAL,4305716,5738886313.0
2023,chhattisgarh,492009,TOTAL,4304806,5937494867.0
2023,chhattisgarh,496005,TOTAL,3858220,5528283869.0
2023,chhattisgarh,491441,TOTAL,3847395,5655541846.0
2023,chhattisgarh,490023,TOTAL,3847222,4897335783.0
2023,chhattisgarh,494001,TOTAL,3699794,5462759852.0
2023,chhattisgarh,495450,TOTAL,3352650,4265300875.0
2023,chhattisgarh,492001,TOTAL,12593303,16219495858.0
2023,chhattisgarh,495001,TOTAL,11316227,13085728477.0
2023,chhattisgarh,497001,TOTAL,7449990,9832286256.0
2023,chhattisgarh,491001,TOTAL,4908978,6387715828.0
2023,chhattisgarh,492009,TOTAL,4842501,6545739034.0
2023,chhattisgarh,491441,TOTAL,4470613,6294275140.0
2023,chhattisgarh,496005,TOTAL,4450667,6104876159.0
2023,chhattisgarh,494001,TOTAL,4376161,6083190722.0
2023,chhattisgarh,490023,TOTAL,4208683,5315912150.0
2023,chhattisgarh,495450,TOTAL,3839152,4708469432.0
2018,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,77416,87636730.73288153
2018,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,31807,45382419.026559845
2018,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,18076,17620423.0517951
2018,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,15322,18170368.09382151
2018,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,2681,3815255.6065886403
2018,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,1724,1778092.8503577379
2018,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,1020,628046.8778566738
2018,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,335,413961.2749699699
2018,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,168,213086.59438582062
2018,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,107488,158175937.8700928
2018,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,42931,72414096.31243189
2018,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,24403,31388224.686525453
2018,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,21154,28750904.67670025
2018,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,3563,6593600.730532296
2018,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,1690,2467269.461487418
2018,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,881,1471603.4288316348
2018,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,371,605000.9332907782
2018,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,145,204133.5562592716
2018,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,147182,231027621.23926872
2018,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,64474,105714782.73660159
2018,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,39682,54371575.11900766
2018,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,30669,42233803.974851705
2018,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,4313,8991943.769468328
2018,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,1576,3597045.1004293105
2018,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,977,899273.6644538083
2018,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,481,507453.95234789746
2018,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,221,296096.12174656213
2018,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,205341,336872613.47805977
2018,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,91229,159795360.8732372
2018,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,54969,78880028.90316722
2018,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,42234,62561669.93918641
2018,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,5233,11360873.230397746
2018,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,2903,5648464.117692966
2018,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,1096,1951463.4595020716
2018,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,807,1388769.2838886275
2018,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,270,291373.5157545934
2019,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,320483,421520724.75977975
2019,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,145955,208892938.21637568
2019,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,112511,105539374.98606506
2019,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,65730,84032725.73878577
2019,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,7898,12394180.666337896
2019,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,6300,7473792.769439252
2019,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,1409,1601086.8457989504
2019,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,1098,1444872.3283073723
2019,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,430,470079.7390118655
2019,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,229045,389519722.1058071
2019,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,111236,202373380.58958167
2019,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,71495,99056958.41760334
2019,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,47528,75930562.7899149
2019,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,21704,40627554.17800613
2019,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,5655,12129857.247605043
2019,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,1356,2309413.869195806
2019,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,1222,2177268.8160403357
2019,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,415,316558.5513168012
2019,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,321026,484826521.3424107
2019,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,144490,226559294.0729215
2019,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,90050,120472135.25551468
2019,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,64662,94795355.50619671
2019,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,9441,17692347.90566071
2019,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,5425,12849978.093659405
2019,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,1792,1826162.00302335
2019,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,1320,1878034.1297022616
2019,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,545,571645.5392825069
2019,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,386314,614130571.5198164
2019,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,174763,287041933.8727873
2019,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,105431,153687707.37839586
2019,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,79098,122229526.49969131
2019,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,12820,25672376.285327867
2019,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,6183,17904499.60168275
2019,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,2000,2582867.811461056
2019,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,1891,2859152.612099316
2019,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,471,532626.4297780144
2020,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,441116,671365594.9261298
2020,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,197542,314823912.29752886
2020,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,118443,163946665.98593232
2020,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,94689,142512717.44225273
2020,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,13048,24718258.57757958
2020,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,7993,17911001.114005364
2020,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,2823,3508391.977673139
2020,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,2496,3515244.917610649
2020,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,429,461582.05380505964
2020,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,501163,685517651.4043604
2020,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,210060,293082598.2688558
2020,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,129647,144719463.21721458
2020,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,105952,133490801.71631071
2020,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,10170,14954548.269439694
2020,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,9711,22168457.78781229
2020,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,3421,4757967.5545071745
2020,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,2464,2690937.0835044077
2020,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,564,994028.5860516636
2020,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,612080,919516792.6168573
2020,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,240177,396068334.8469492
2020,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,133805,186062492.63972354
2020,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,123353,193598669.77190793
2020,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,11810,20980716.072129883
2020,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,10355,24001049.88871453
2020,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,3765,5593842.166783568
2020,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,2309,2678665.426005557
2020,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,658,1288551.5702918216
2020,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,983398,1374632600.8369546
2020,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,386879,614498158.3519889
2020,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,203349,298144871.50685096
2020,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,195578,308847420.7804359
2020,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,23557,51879988.881247215
2020,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,12306,33140156.79102123
2020,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,6766,8729846.58144759
2020,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,5159,9482020.154901681
2020,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,799,1156036.9436559002
2021,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,1012000,1485582190.5625858
2021,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,436569,706553627.961648
2021,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,218763,324695232.2098592
2021,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,206428,339864373.41451025
2021,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,26897,58721427.68946643
2021,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,10526,27398296.955953956
2021,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,8876,12517102.553139005
2021,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,4421,8927650.380544107
2021,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,764,1373009.4657990413
2021,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,1116145,1605778312.2955143
2021,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,483461,729957855.3925527
2021,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,244747,339007704.4311948
2021,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,234748,375901354.2322214
2021,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,22524,54226978.806524165
2021,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,12826,37078042.59425647
2021,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,4968,5114014.400972446
2021,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,4701,7722440.825679861
2021,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,963,2881758.439986662
2021,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,1638554,2161174008.8665886
2021,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,711442,1004074143.2475473
2021,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,358966,455842640.0651342
2021,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,340968,512051027.36675966
2021,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,43817,99557825.15305983
2021,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,13815,39646220.35437848
2021,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,13281,15342981.992130537
2021,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,7258,15140901.551349917
2021,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,1369,3109354.194559193
2021,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,2185292,2785135349.772399
2021,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,933996,1279955683.7605495
2021,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,466238,678788229.6586452
2021,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,460444,587732423.5031067
2021,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,56563,126385882.98313463
2021,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,22713,28100459.0672345
2021,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,20903,59141887.35630301
2021,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,9229,16955560.119017802
2021,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,1707,3643910.110268616
2022,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,2529505,3175914207.706642
2022,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,1063029,1377708092.467782
2022,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,548668,778923921.3410132
2022,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,542827,662238673.7185507
2022,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,61125,132959887.04473493
2022,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,23941,28860384.012318004
2022,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,22718,58151281.657628626
2022,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,9142,18522402.201508123
2022,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,1848,3769517.11221231
2022,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,3036361,3510648290.549227
2022,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,1265263,1555471670.5106633
2022,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,669168,874017854.4522531
2022,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,624136,726057284.614956
2022,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,86725,176999274.61440217
2022,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,34008,40143120.16860029
2022,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,29535,78134342.57242805
2022,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,12175,27561948.540993102
2022,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,2400,6125994.787314363
2022,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,3258977,3694118763.925285
2022,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,1611322,1870810815.3123794
2022,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,740384,907966838.3406518
2022,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,676827,734945405.1022592
2022,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,110894,191476706.81357902
2022,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,29552,33066054.854626738
2022,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,24481,59886035.64910581
2022,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,10546,23234229.709624004
2022,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,2638,5142509.79192865
2022,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,3819682,4120308217.5601406
2022,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,1522368,1761568434.8514998
2022,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,870173,1013726732.5665324
2022,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,785689,825148911.4634712
2022,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,109260,191451169.95900574
2022,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,36803,42568939.969066985
2022,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,29723,68740047.95433974
2022,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,13387,30385356.510424882
2022,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,2500,5742935.246648394
2023,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,6218492,6477021613.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,2487380,2698103903.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,1481646,1645789241.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,1326195,1307130607.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,159333,265623812.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,51802,105566094.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,51077,59500852.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,22796,43996688.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,5264,11358390.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396230,TOTAL,6990902,7036241742.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396210,TOTAL,2849424,2944008621.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396235,TOTAL,1679861,1795215578.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396215,TOTAL,1499642,1401179279.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362520,TOTAL,185117,313277874.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362571,TOTAL,61455,140292838.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,396220,TOTAL,59881,62752758.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362540,TOTAL,24775,46332774.0
2023,dadra-&-nagar-haveli-&-daman-&-diu,362570,TOTAL,6058,11236724.0
2018,delhi,110006,TOTAL,2636324,3714139312.238586
2018,delhi,110011,TOTAL,490950,754671792.2704033
2018,delhi,110092,TOTAL,195216,333413736.0888477
2018,delhi,110059,TOTAL,162674,267828715.66707176
2018,delhi,110044,TOTAL,136670,200394849.45420197
2018,delhi,110086,TOTAL,108360,143566310.06551883
2018,delhi,110084,TOTAL,105336,139880045.8768048
2018,delhi,110096,TOTAL,105018,161837400.85010183
2018,delhi,110085,TOTAL,93946,174021234.45011505
2018,delhi,110043,TOTAL,93278,144808343.38100114
2018,delhi,110006,TOTAL,3069733,5237594871.124264
2018,delhi,110011,TOTAL,579110,1109171854.775809
2018,delhi,110092,TOTAL,271265,508731551.22384804
2018,delhi,110059,TOTAL,222069,442940056.4156143
2018,delhi,110044,TOTAL,175649,307557163.6120768
