year,state,Pincode,type,count,amount
2019,andaman-&-nicobar-islands,744202,TOTAL,1783,5800016.5561128855
2019,andaman-&-nicobar-islands,744211,TOTAL,1596,7908264.721918669
2019,andaman-&-nicobar-islands,744301,TOTAL,1549,7056478.928838715
2019,andaman-&-nicobar-islands,744201,TOTAL,886,946768.0636478986
2019,andaman-&-nicobar-islands,744107,TOTAL,777,3030368.911900454
2020,andaman-&-nicobar-islands,744101,TOTAL,11793,58229349.02415232
2020,andaman-&-nicobar-islands,744103,TOTAL,5870,22009443.073053975
2020,andaman-&-nicobar-islands,744105,TOTAL,4635,16774043.311987936
2020,andaman-&-nicobar-islands,744102,TOTAL,3820,14517706.12269676
2020,andaman-&-nicobar-islands,744211,TOTAL,1837,8425387.79004211
2020,andaman-&-nicobar-islands,744301,TOTAL,1819,6901162.107519586
2020,andaman-&-nicobar-islands,744202,TOTAL,1794,5037742.395579022
2020,andaman-&-nicobar-islands,744104,TOTAL,1302,5293130.290633954
2020,andaman-&-nicobar-islands,744201,TOTAL,1157,1242638.821252932
2020,andaman-&-nicobar-islands,744107,TOTAL,1043,2990354.4448547475
2020,andaman-&-nicobar-islands,744101,TOTAL,11868,48293323.21851964
2020,andaman-&-nicobar-islands,744103,TOTAL,10035,26197535.98945152
2020,andaman-&-nicobar-islands,744105,TOTAL,9341,23203019.858980607
2020,andaman-&-nicobar-islands,744102,TOTAL,6012,17786750.907515876
2020,andaman-&-nicobar-islands,744202,TOTAL,3722,8924121.010762567
2020,andaman-&-nicobar-islands,744107,TOTAL,2555,3980470.6853698147
2020,andaman-&-nicobar-islands,744301,TOTAL,2275,9055232.527755566
2020,andaman-&-nicobar-islands,744211,TOTAL,2045,3319717.6328789736
2020,andaman-&-nicobar-islands,744205,TOTAL,1847,4459064.90732021
2020,andaman-&-nicobar-islands,744104,TOTAL,1840,3334591.822304932
2020,andaman-&-nicobar-islands,744101,TOTAL,24386,100439119.66860783
2020,andaman-&-nicobar-islands,744103,TOTAL,21272,60332278.69396809
2020,andaman-&-nicobar-islands,744105,TOTAL,17166,44061506.56273589
2020,andaman-&-nicobar-islands,744102,TOTAL,13934,43077189.842844136
2020,andaman-&-nicobar-islands,744202,TOTAL,5779,11975748.707876923
2020,andaman-&-nicobar-islands,744107,TOTAL,4753,7628018.669464628
2020,andaman-&-nicobar-islands,744104,TOTAL,3468,7353834.51320935
2020,andaman-&-nicobar-islands,744112,TOTAL,3422,6067986.696111794
2020,andaman-&-nicobar-islands,744301,TOTAL,3071,13352610.531559702
2020,andaman-&-nicobar-islands,744205,TOTAL,2991,7535645.788593667
2020,andaman-&-nicobar-islands,744103,TOTAL,46884,138264791.5489212
2020,andaman-&-nicobar-islands,744101,TOTAL,40392,136401368.02166596
2020,andaman-&-nicobar-islands,744105,TOTAL,34410,87838226.93633425
2020,andaman-&-nicobar-islands,744102,TOTAL,26694,76348598.32238364
2020,andaman-&-nicobar-islands,744202,TOTAL,10949,25543799.074759968
2020,andaman-&-nicobar-islands,744107,TOTAL,9743,18083250.19055397
2020,andaman-&-nicobar-islands,744104,TOTAL,7654,19126095.533284884
2020,andaman-&-nicobar-islands,744112,TOTAL,7016,15890275.050448488
2020,andaman-&-nicobar-islands,744205,TOTAL,5118,12002695.281042248
2020,andaman-&-nicobar-islands,744201,TOTAL,5011,6777275.536669218
2021,andaman-&-nicobar-islands,744101,TOTAL,55726,190830957.0606181
2021,andaman-&-nicobar-islands,744103,TOTAL,47328,158404100.7854989
2021,andaman-&-nicobar-islands,744105,TOTAL,35467,111571687.43195169
2021,andaman-&-nicobar-islands,744102,TOTAL,23957,80750048.8238959
2021,andaman-&-nicobar-islands,744211,TOTAL,10648,34956327.94105429
2021,andaman-&-nicobar-islands,744202,TOTAL,10597,28127629.877961583
2021,andaman-&-nicobar-islands,744107,TOTAL,8848,19627951.469969153
2021,andaman-&-nicobar-islands,744104,TOTAL,8799,27854306.51949638
2021,andaman-&-nicobar-islands,744112,TOTAL,7113,21084790.0528014
2021,andaman-&-nicobar-islands,744301,TOTAL,5630,22671937.31314759
2021,andaman-&-nicobar-islands,744101,TOTAL,73334,227585492.7414593
2021,andaman-&-nicobar-islands,744103,TOTAL,66321,174752815.1688521
2021,andaman-&-nicobar-islands,744105,TOTAL,52645,134835744.22049245
2021,andaman-&-nicobar-islands,744102,TOTAL,34289,100890426.76234055
2021,andaman-&-nicobar-islands,744202,TOTAL,16476,40647907.96960775
2021,andaman-&-nicobar-islands,744107,TOTAL,14524,24690581.539094776
2021,andaman-&-nicobar-islands,744104,TOTAL,11278,28333852.06159348
2021,andaman-&-nicobar-islands,744211,TOTAL,10182,20377949.346094526
2021,andaman-&-nicobar-islands,744112,TOTAL,9635,21637658.167199604
2021,andaman-&-nicobar-islands,744301,TOTAL,8463,27666837.39688266
2021,andaman-&-nicobar-islands,744101,TOTAL,116324,388328168.7639693
2021,andaman-&-nicobar-islands,744103,TOTAL,84790,246433385.80990067
2021,andaman-&-nicobar-islands,744105,TOTAL,67257,185238368.4767078
2021,andaman-&-nicobar-islands,744102,TOTAL,43850,131239564.16909727
2021,andaman-&-nicobar-islands,744202,TOTAL,19088,48475163.574293144
2021,andaman-&-nicobar-islands,744107,TOTAL,16203,37962312.09641009
2021,andaman-&-nicobar-islands,744104,TOTAL,14657,35301326.114471875
2021,andaman-&-nicobar-islands,744112,TOTAL,11565,28491553.61094001
2021,andaman-&-nicobar-islands,744301,TOTAL,11553,43464511.051198
2021,andaman-&-nicobar-islands,744211,TOTAL,9655,19497765.257140517
2021,andaman-&-nicobar-islands,744101,TOTAL,165719,533026207.9731797
2021,andaman-&-nicobar-islands,744103,TOTAL,121613,372243734.27985656
2021,andaman-&-nicobar-islands,744105,TOTAL,95028,281223411.7435058
2021,andaman-&-nicobar-islands,744102,TOTAL,58258,174623253.47653326
2021,andaman-&-nicobar-islands,744211,TOTAL,27938,94222862.10725296
2021,andaman-&-nicobar-islands,744104,TOTAL,25662,69245386.0816525
2021,andaman-&-nicobar-islands,744202,TOTAL,21913,67790798.04849821
2021,andaman-&-nicobar-islands,744107,TOTAL,21397,52036029.9980372
2021,andaman-&-nicobar-islands,744112,TOTAL,18915,55448543.43365714
2021,andaman-&-nicobar-islands,744301,TOTAL,14553,47792330.70050094
2022,andaman-&-nicobar-islands,744101,TOTAL,209941,615978080.6944855
2022,andaman-&-nicobar-islands,744103,TOTAL,157230,399715980.1391735
2022,andaman-&-nicobar-islands,744105,TOTAL,122716,321850608.7396423
2022,andaman-&-nicobar-islands,744102,TOTAL,74883,193336549.94178736
2022,andaman-&-nicobar-islands,744104,TOTAL,32471,72915521.83614868
2022,andaman-&-nicobar-islands,744211,TOTAL,30272,86955570.58655271
2022,andaman-&-nicobar-islands,744107,TOTAL,25379,58776727.62636636
2022,andaman-&-nicobar-islands,744202,TOTAL,24022,68519268.77643085
2022,andaman-&-nicobar-islands,744112,TOTAL,23471,55469783.6622991
2022,andaman-&-nicobar-islands,744301,TOTAL,17630,56879992.28461884
2022,andaman-&-nicobar-islands,744101,TOTAL,252722,702122365.3629664
2022,andaman-&-nicobar-islands,744103,TOTAL,230746,561168775.5622396
2022,andaman-&-nicobar-islands,744105,TOTAL,176252,415796516.6034926
2022,andaman-&-nicobar-islands,744102,TOTAL,101551,240451609.192299
2022,andaman-&-nicobar-islands,744104,TOTAL,47069,94335358.34017953
